,ngram,weight
4,great,0.200991127
41,amazing,0.145921902
23,love,0.122254851
18,best,0.120820414
40,delicious,0.119379155
102,awesome,0.104032965
131,excellent,0.093612391
28,friendly,0.092951764
38,definitely,0.086645513
2,good,0.077465973
29,always,0.074345791
254,fantastic,0.071644025
139,favorite,0.071610531
433,yummy,0.071110334
206,loved,0.069686981
56,recommend,0.067732184
176,highly,0.065438365
289,wonderful,0.064740642
165,perfect,0.060718017
280,helpful,0.055935165
326,thank,0.055465127
59,everything,0.055406704
114,clean,0.05233068
17,nice,0.052195371
35,little,0.050448622
60,fresh,0.050163185
411,professional,0.048431409
182,job,0.04572634
154,atmosphere,0.044981326
398,reasonable,0.044428444
